id,name
13011,Brasil & Mexico Expansion
13012,Documentation
13013,DV integration Europe Release 1
13014,DV Release 2.2
13015,DV Release 2.3
13016,DV Release 2.4
13017,DV Release 2.5
13018,DV Release 2.8
13019,DV Store Online Release 2.10
13020,DV Store Online Release 2.12
13021,Europe Pilot Greece Release 1
13022,"Incidents & FRs (align with GP, mve to magento 1.0 release)"
13023,LA Store Online 2.1
13024,Magento 1.0 [Mexico & Brasil Pilot]
13025,Magento 2.0 [1.0 code refactoring]
13026,MVP
13027,Next Release Backlog
13028,Operations/ELS - In between releases
13029,Store Online DV Release 2.11
13030,Store Online DV Release 2.12
13031,Store Online DV Release 2.6
13032,Store Online DV Release 2.7
13033,Store Online DV Release 2.9
13034,Store Online Release 2.10
13035,Store Online Release 2.10 PGC EU
13036,Store Online Release 2.11
13037,Store Online Release 2.12 [IT + GLOBAL]
13038,Store Online Release 2.12 [NA]
13039,Store Online Release 2.13
13040,Store Online Release 2.2.
13041,Store Online Release 2.3
13042,Store Online Release 2.4
13043,Store Online Release 2.5
13044,Store Online Release 2.6
13045,Store Online Release 2.7.
13046,Store Online Release 2.8.
13047,Store Online Release 2.9
